Filename,T,P,HOA,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m1_o3_stc,313.0,16.0,3.859387,3.54,29380.1,0.277282,4749.78,0.61768,17.843786
DB0-m29_o80_o46_f0_pts.sym.42,338.0,3.2,6.971499,1.98,1827.2,0.927394,199.808,0.04536,6.223103
DB7-ddmof_3621,298.0,1.0,4.695873,4.65,8780.94,0.688504,1752.24,0.30342,1.98337
DB0-m3_o470_o22_f0_fsc.sym.20,313.0,0.4,8.142764,3.03,843.767,1.39584,65.3808,0.0249,2.686232
DB0-m29_o88_o450_f0_pts.sym.39,338.0,0.26,5.004127,1.92,2585.18,0.749207,435.117,0.16354,0.285509
DB0-m2_o23_o106_f0_fsc,313.0,16.0,10.498431,3.03,1181.66,1.00003,130.518,0.07952,8.993577
DB0-m3_o2_o12_f0_pcu.sym.67,313.0,16.0,5.042879,1.64,2352.51,1.12743,246.42,0.0331,5.318057
DB6-cuf_7877,338.0,0.26,3.77663,1.85,4712.21,0.386198,902.03,0.48848,0.21583
DB0-m3_o1_o23_f0_nbo.sym.150,298.0,1.0,4.991946,3.0,15220.5,0.479573,3100.16,0.41916,3.00427
DB0-m3_o1_o27_f0_nbo.sym.15,313.0,0.4,3.162821,4.0,18425.5,0.350631,2957.22,0.58316,0.376563
DB0-m3_o2_o4_f0_pcu.sym.14,313.0,16.0,6.213919,2.5,2343.33,0.548081,492.95,0.31184,21.608497
DB0-m2_o4_o23_f0_nbo.sym.21,338.0,0.26,3.530778,3.59,7460.63,0.392295,1401.73,0.49508,0.165641
DB0-m2_o11_o22_f0_nbo.sym.138,313.0,16.0,4.348289,4.23,5287.62,0.474289,1057.44,0.42922,17.834981
DB0-m3_o11_o17_f0_nbo.sym.76,313.0,16.0,3.959661,4.29,14844.9,0.360945,2592.27,0.54756,21.997754
DB1-Zn2O8N2-BDC_A-irmof8_A_No56,338.0,3.2,4.979575,4.26,2630.58,1.25566,408.776,0.15834,3.313895
DB1-Al2O6-DPAC_B-fum_B_No43,313.0,0.4,7.678925,3.57,940.551,0.922257,168.44,0.10552,7.175976
DB0-m29_o90_o44_f0_pts.sym.138,298.0,1.0,4.705496,2.41,2668.71,0.596291,590.914,0.25706,3.71075
DB0-m3_o9_o17_f0_nbo.sym.40,338.0,0.26,4.822084,2.83,7182.73,0.519963,1467.24,0.3629,0.435299
DB0-m3_o460_o159_f0_fsc.sym.22,338.0,3.2,8.430435,2.86,1009.71,1.28164,89.0063,0.02534,3.785442
DB0-m3_o450_o21_f0_fsc.sym.9,313.0,0.4,5.211129,3.7,1344.04,0.765002,300.13,0.14294,1.251916
DB0-m3_o15_o27_f0_pcu.sym.22,313.0,0.4,6.746234,2.0,2114.62,0.797511,414.469,0.12758,2.928092
DB0-m3_o530_o14_f0_fsc.sym.24,338.0,0.26,7.063359,2.38,1479.94,1.01819,184.076,0.04264,2.166806
DB0-m15_o14_o146_f0_fsc,338.0,0.26,6.995634,3.57,1044.44,1.03074,158.207,0.0849,1.834811
DB0-m3_o3_o23_f0_nbo.sym.140,298.0,0.1,4.608078,1.86,48187.5,0.21082,6054.63,0.6877,0.225592
DB0-m2_o11_o26_f0_pcu.sym.38,338.0,3.2,3.870705,3.51,1823.72,0.57683,394.01,0.302,3.428672
DB0-m2_o8_o17_f0_pcu.sym.18,298.0,0.1,4.231506,2.13,3939.26,0.389451,762.151,0.47636,0.240559
DB5-hypotheticalMOF_6002803_0_0_3_3_7_10,338.0,0.26,9.258659,2.7,734.492,1.4796,11.0703,0.00166,1.537411
DB0-m3_o14_o17_f0_pcu.sym.108,298.0,0.1,6.977662,2.38,1629.18,0.894359,242.731,0.09596,1.016135
DB0-m6_o6_o20_f0_bcu.sym.173,298.0,0.1,5.098749,3.54,6098.67,0.375666,1224.53,0.47006,0.24762
DB5-hypotheticalMOF_5023050_2_0_0_27_7_1,298.0,1.0,3.316912,5.19,3466.94,0.546038,682.867,0.40698,1.107109
DB0-m3_o23_o24_f0_nbo.sym.144,338.0,0.26,3.358757,3.41,10941.8,0.287528,1712.1,0.6174,0.219264
DB0-m2_o6_o12_f0_pcu.sym.136,338.0,0.26,4.32572,2.7,2563.65,0.56069,603.403,0.27388,0.292781
DB0-m2_o7_o22_f0_nbo,313.0,16.0,2.995582,3.53,26987.7,0.225275,3544.2,0.6857,12.12451
DB0-m3_o14_o151_f0_fsc.sym.50,298.0,1.0,6.679576,2.5,1539.87,0.857784,231.603,0.09166,3.501793
DB6-cuf_9930,298.0,1.0,4.569257,2.56,2672.39,0.591315,617.277,0.3176,1.951177
DB0-m9_o7_o16_f0_sra.sym.9,298.0,0.1,5.310558,3.33,3210.23,0.899032,495.113,0.19366,0.313303
DB0-m3_o23_o27_f0_nbo.sym.125,338.0,3.2,3.128709,2.8,39315.8,0.184994,4580.03,0.73348,2.425366
DB0-m3_o13_o26_f0_pcu.sym.28,298.0,0.1,5.505866,2.22,2687.06,0.562053,538.021,0.28194,0.517994
DB5-hypotheticalMOF_5027203_2_0_0_28_21_5,298.0,1.0,2.972547,3.6,8507.12,0.258907,1247.57,0.66032,1.175542
DB0-m3_o1530_o156_f0_fsc.sym.22,298.0,0.1,5.967252,2.33,1927.8,0.859204,378.864,0.13588,1.725427
DB0-m2_o9_o14_f0_nbo.sym.10,298.0,1.0,7.45082,2.73,5020.18,0.749892,795.783,0.20752,2.434773
DB13-lvt-Syn022880,298.0,1.0,5.273167,3.23,15815.8,0.676449,3549.89,0.24534,2.321083
DB0-m29_o90_o1470_f0_pts.sym.10,313.0,16.0,6.232305,2.63,2445.34,0.725559,497.644,0.24128,16.877169
DB0-m2_o9_o28_f0_nbo.sym.105,338.0,0.26,4.089497,2.07,21489.0,0.446283,3702.02,0.4572,0.234095
DB0-m3_o6_o24_f0_nbo.sym.124,338.0,0.26,3.313845,4.0,22452.2,0.266465,3215.83,0.64724,0.216394
DB0-m3_o8_o10_f0_pcu.sym.128,298.0,0.1,5.703491,2.33,2398.91,0.661344,548.76,0.23138,0.789818
DB0-m3_o14_o16_f0_pcu.sym.13,338.0,0.26,6.356935,2.94,1441.42,0.872458,234.937,0.15566,0.739093
DB0-m29_o88_o44_f0_pts.sym.81,298.0,0.1,5.080677,2.94,2447.12,0.723338,530.457,0.28406,0.385285
DB5-hypotheticalMOF_5023378_2_0_0_27_21_5,338.0,0.26,2.910781,4.4,7065.84,0.264914,1091.71,0.64172,0.186936
DB0-m2_o7_o13_f0_pcu.sym.18,298.0,1.0,4.8521,1.27,3754.54,0.581304,744.551,0.28294,1.514676
DB0-m3_o3_o144_f0_fsc,313.0,0.4,4.547801,2.44,2981.07,0.468727,569.627,0.408,1.293456
DB0-m3_o16_o1530_f0_fsc.sym.9,338.0,3.2,6.616036,2.86,1273.79,1.00553,173.703,0.05064,5.964518
DB0-m2_o14_o23_f0_pcu.sym.23,313.0,16.0,8.266845,2.86,1604.7,0.870881,339.126,0.14506,12.896787
DB0-m3_o1530_o6_f0_fsc.sym.4,298.0,1.0,6.42314,3.33,1591.13,0.717247,354.195,0.22974,4.169959
DB1-Al2O6-DPAC_B-TED_B_No6,298.0,1.0,6.218857,3.33,1185.58,0.818511,171.529,0.18238,3.900357
DB0-m3_o23_o28_f0_pcu.sym.96,313.0,0.4,4.891502,1.38,5535.7,0.388452,1158.34,0.43878,0.950581
DB5-hypotheticalMOF_5025617_0_0_0_27_15_11,338.0,3.2,3.388071,3.31,5520.11,0.383374,1049.2,0.50348,1.909244
DB0-m3_o19_o24_f0_nbo.sym.84,338.0,3.2,4.136662,3.8,12342.7,0.541732,2623.75,0.38156,2.411926
DB0-m29_o99_o51_f0_pts.sym.60,298.0,1.0,5.238265,2.5,2649.76,0.57547,641.775,0.26918,3.822841
DB7-ddmof_21707,313.0,0.4,3.793731,4.55,25511.8,0.47884,4979.8,0.46874,0.489077
DB0-m2_o20_o22_f0_nbo.sym.64,338.0,0.26,2.853678,4.11,17476.4,0.340227,3069.23,0.5693,0.157589
DB0-m3_o9_o20_f0_nbo.sym.126,298.0,1.0,5.271193,3.19,6969.25,0.51795,1413.87,0.37326,2.880488
DB0-m3_o1_o9_f0_nbo.sym.131,338.0,0.26,4.65234,4.17,5210.32,0.585564,1032.31,0.35984,0.27795
DB5-hypotheticalMOF_20273_0_0_1_1_21_2,313.0,0.4,4.602789,4.35,2037.19,0.617329,458.284,0.31978,0.576757
DB0-m3_o14_o15_f0_nbo.sym.90,338.0,0.26,4.888333,4.05,5224.96,0.566805,1023.42,0.36266,0.357203
DB0-m3_o16_o1510_f0_fsc.sym.49,298.0,0.1,7.070429,2.27,1862.74,0.805432,371.923,0.0815,2.300472
DB0-m2_o15_o24_f0_nbo.sym.11,338.0,3.2,4.990186,3.37,4993.1,0.659376,911.309,0.29274,3.746372
DB0-m2_o13_o15_f0_pcu,298.0,1.0,9.109679,2.7,2776.31,0.939886,443.886,0.04832,4.127913
DB6-cuf_8801,313.0,0.4,4.032267,2.5,3037.24,0.547625,710.478,0.33776,0.494717
DB0-m2_o11_o28_f0_nbo.sym.32,313.0,0.4,2.953593,3.53,22038.7,0.321045,3750.07,0.58946,0.331723
DB7-ddmof_15678,298.0,1.0,3.999683,3.12,97752.0,0.123843,6044.01,0.85,1.528475
DB0-m29_o88_o145_f0_pts.sym.37,338.0,3.2,4.917814,1.6,3207.6,0.627818,583.644,0.24966,4.045736
DB7-ddmof_3543,313.0,16.0,5.841532,4.44,10516.9,1.0933,1966.52,0.2622,8.023599
DB0-m3_o4_o1510_f0_fsc.sym.11,298.0,0.1,6.734211,3.03,1529.7,0.971788,291.507,0.11138,0.838632
DB0-m3_o520_o1_f0_fsc.sym.8,313.0,0.4,6.370356,3.12,1185.03,1.03307,204.918,0.08462,2.630869
DB0-m2_o6_o23_f0_pcu.sym.115,298.0,1.0,3.930582,2.04,3723.3,0.39065,832.682,0.41698,2.127435
DB0-m2_o26_o28_f0_pcu.sym.14,313.0,0.4,3.905407,1.54,6421.59,0.308286,1046.8,0.56422,0.656825
DB0-m3_o88_o6_f0_fsc.sym.16,298.0,1.0,7.124917,2.94,1257.02,0.918539,176.11,0.16302,4.077248
DB1-Zn2O8-ADC_A-irmof7_A_No132,313.0,16.0,7.081141,3.7,3802.91,0.903631,796.084,0.21372,12.553164
DB1-Al2O6-irmof16_B-irmof20_B_No72,338.0,3.2,7.121068,5.26,1955.94,0.978734,304.1,0.193,6.723702
DB0-m29_o99_o149_f0_pts.sym.56,338.0,0.26,4.661236,2.6,2314.11,0.623756,512.809,0.26364,0.47791
DB0-m3_o16_o27_f0_pcu.sym.109,338.0,0.26,4.858131,1.79,3244.89,0.593477,667.528,0.27824,0.476765
DB0-m29_o88_o49_f0_pts.sym.17,313.0,16.0,7.217722,2.6,2131.44,0.68734,429.255,0.23064,18.01144
DB0-m2_o5_o14_f0_nbo.sym.58,338.0,0.26,4.824275,4.11,7232.48,0.735778,1558.82,0.19764,0.308008
DB0-m3_o11_o15_f0_nbo.sym.122,313.0,16.0,5.166786,4.8,5387.03,0.479394,1077.58,0.43814,23.516494
DB0-m2_o1_bba,298.0,0.1,3.552863,5.88,17751.8,0.511102,3503.28,0.44392,0.136517
DB0-m3_o440_o23_f0_fsc.sym.107,313.0,0.4,5.314463,2.78,1626.83,0.789381,277.577,0.13332,1.037227
DB1-Zn2O8N2-DPAC_A-irmof10_A_No65,298.0,0.1,4.95248,2.53,9623.23,0.433589,1571.84,0.55968,0.182018
DB0-m29_o92_o87_f0_pts.sym.48,338.0,3.2,7.602039,1.96,2052.48,0.958273,244.721,0.03666,6.378142
DB5-hypotheticalMOF_5068877_0_0_2_20_12_12,298.0,0.1,4.622821,2.44,1925.62,0.627577,435.811,0.19634,0.335739
DB5-hypotheticalMOF_5009521_0_0_0_8_2_2,338.0,3.2,4.442346,6.15,1786.04,0.951227,390.833,0.16962,2.058443
DB0-m2_o15_o23_f0_nbo.sym.132,298.0,0.1,4.454216,3.12,14691.3,0.461341,2994.59,0.42396,0.241501
DB0-m3_o7_o7_f0_pcu.sym.19,298.0,0.1,5.137938,1.22,10485.8,0.433307,2179.03,0.36512,0.488099
DB0-m29_o90_o450_f0_pts.sym.69,298.0,0.1,4.483058,2.04,2709.71,0.664552,495.7,0.25374,0.296712
DB0-m3_o9_o23_f0_nbo.sym.29,298.0,1.0,4.492252,2.86,7637.39,0.603835,1448.84,0.3759,2.505559
DB0-m3_o16_o24_f0_pcu.sym.13,313.0,0.4,6.025575,2.38,1801.83,0.757073,386.76,0.12964,2.625282
DB0-m3_o1520_o158_f0_fsc.sym.43,338.0,0.26,6.323742,2.38,1516.62,0.903813,297.675,0.13428,1.658057
DB0-m9_o7_o23_f0_sra.sym.44,338.0,0.26,5.271166,2.6,3635.63,0.787793,609.666,0.2079,0.392675
DB0-m2_o11_o27_f0_nbo.sym.20,338.0,0.26,2.655388,4.35,18373.7,0.320684,3075.4,0.6031,0.140236
DB0-m3_o16_o21_f0_pcu.sym.24,298.0,0.1,4.582113,3.03,2407.56,0.562963,526.992,0.34892,0.268256
DB0-m3_o530_o6_f0_fsc.sym.11,338.0,0.26,5.527491,2.27,2294.53,0.718955,509.802,0.17932,0.909815
DB0-m2_o13_o22_f0_pcu.sym.55,298.0,0.1,4.840094,2.78,1568.59,0.768191,327.914,0.15632,0.413628
DB0-m29_o89_o51_f0_pts.sym.6,313.0,16.0,6.910575,2.63,2223.76,0.682285,500.053,0.20588,18.82333
DB0-m3_o25_o26_f0_pcu.sym.121,338.0,0.26,4.556425,2.22,4157.63,0.384019,855.043,0.45758,0.356975
DB1-Cu2O8N2-BDC_A-irmof8_A_No141,338.0,0.26,5.165932,4.26,2314.24,1.10306,370.108,0.15174,0.469886
DB0-m29_o81_o420_f0_pts.sym.52,298.0,0.1,4.768996,2.44,2411.89,0.657001,536.331,0.2392,0.381889
DB0-m3_o14_o21_f0_pcu.sym.72,313.0,0.4,5.367637,3.12,1517.07,0.856168,265.352,0.13746,1.248074
DB0-m3_o17_o24_f0_nbo.sym.10,338.0,0.26,4.16312,3.61,19846.2,0.575864,3278.4,0.4782,0.217693
DB0-m29_o96_o490_f0_pts.sym.45,338.0,0.26,4.515091,1.79,3510.62,0.580182,776.649,0.29682,0.465307
DB0-m3_o22_o25_f0_nbo.sym.149,338.0,0.26,4.942091,2.55,7440.38,0.509098,1366.88,0.39182,0.334606
DB0-m3_o8_o13_f0_pcu.sym.31,298.0,0.1,4.338266,2.7,3591.75,0.8793,667.133,0.38966,0.128233
DB0-m3_o9_o27_f0_nbo.sym.25,313.0,0.4,4.201413,2.17,9218.13,0.4854,1698.46,0.40738,0.674555
DB13-cds-Syn026282,338.0,3.2,6.370852,3.03,2644.32,0.921325,495.214,0.10878,5.381768
DB0-m3_o1_o14_f0_nbo.sym.10,338.0,3.2,4.115477,5.56,5202.44,0.477496,989.737,0.47378,2.382595
DB0-m2_o8_o26_f0_pcu,313.0,16.0,2.929307,2.38,4654.32,0.301045,772.653,0.57572,19.807472
DB1-Cu2O8-ADC_A-DPAC_A_No1577,298.0,0.1,4.178303,2.63,6079.64,0.444483,1176.4,0.41372,0.195209
DB0-m2_o39_o39_f0_fof.sym.18,313.0,0.4,6.796449,2.78,3845.6,0.924517,560.415,0.07486,2.830748
DB0-m2_o1_o21_f0_pcu.sym.53,298.0,1.0,6.254605,3.03,1430.23,0.749579,284.655,0.13406,3.087736
DB0-m3_o16_o96_f0_fsc.sym.41,298.0,0.1,5.514142,1.94,2471.28,0.695907,455.812,0.2049,0.743469
DB0-m2_o24_o27_f0_nbo.sym.153,298.0,1.0,3.088242,3.9,17483.1,0.357592,2847.03,0.56954,0.909452
DB13-nbo-Syn033374,298.0,1.0,5.329112,2.13,17483.5,0.532669,3255.53,0.35912,2.625582
DB1-Zn4O13-irmof6_A-irmof8_A_No125,298.0,1.0,5.224445,4.94,11878.2,0.618768,2422.05,0.3321,2.189541
DB0-m2_o7_o26_f0_pcu.sym.73,298.0,1.0,4.775166,1.45,4988.69,0.420166,1069.04,0.3836,2.746162
DB0-m2_o31_o23_jea,298.0,0.1,3.084929,4.88,4632.67,0.378799,952.841,0.50848,0.141473
DB7-ddmof_5615,298.0,1.0,4.92668,4.65,10593.8,0.561298,2034.9,0.39478,1.606381
DB0-m29_o82_o149_f0_pts.sym.71,338.0,0.26,6.478571,2.56,1972.72,0.774635,450.342,0.14032,1.36181
DB0-m2_o19_o26_f0_pcu.sym.16,313.0,16.0,4.414801,4.35,2133.38,0.480577,489.971,0.39708,23.566183
DB0-m2_o28_o152_f0_pcu,298.0,1.0,3.73916,2.0,10021.5,0.357218,1833.76,0.53352,1.864084
DB0-m2_o11_o19_f0_pcu.sym.52,338.0,0.26,5.051107,3.33,1240.17,0.85635,177.926,0.0834,0.338982
DB6-cuf_7518,338.0,3.2,4.393956,2.27,2752.21,0.550133,522.973,0.3398,4.071183
DB0-m2_o22_o25_f0_nbo.sym.154,338.0,0.26,3.266096,3.68,7233.9,0.405736,1332.0,0.50168,0.127233
DB0-m2_o9_o27_f0_nbo.sym.7,338.0,3.2,3.595904,2.68,8858.06,0.442998,1643.41,0.45396,2.375174
DB15-lon_N76_E31_opt,313.0,16.0,2.043291,1.96,33556.4,0.124662,2799.35,0.81684,14.612509
DB0-m2_o3_o8_f0_pcu.sym.27,338.0,0.26,4.396708,0.9,5882.51,0.551244,1086.53,0.31828,0.177219
DB0-m3_o11_o23_f0_nbo.sym.128,338.0,3.2,3.747054,4.05,7804.02,0.345014,1503.21,0.53554,2.202298
DB0-m2_o20_o24_f0_nbo.sym.3,313.0,16.0,3.012069,5.08,17839.7,0.281874,2620.8,0.63464,8.058313
DB0-m2_o2_o5_f0_nbo.sym.36,313.0,16.0,6.233659,1.8,16533.6,0.604254,3419.52,0.22122,18.190728
DB0-m3_o16_o52_f0_fsc.sym.54,313.0,0.4,6.441361,3.12,1462.7,0.866598,307.069,0.12734,2.880168
DB0-m3_o146_o155_f0_fsc.sym.65,313.0,16.0,6.678038,1.72,3167.6,0.576544,653.986,0.2716,22.050439
DB0-m3_o18_o19_f0_pcu.sym.7,313.0,0.4,4.668994,2.44,2757.52,0.524781,660.688,0.31284,0.918175
DB0-m3_o152_o1_f0_fsc.sym.6,298.0,1.0,7.879607,3.85,1019.0,1.04809,168.856,0.1,4.417435
DB0-m3_o21_o29_f0_pcu.sym.100,338.0,0.26,3.549815,2.08,5033.06,0.358154,997.532,0.50734,0.310009
DB0-m29_o88_o51_f0_pts.sym.94,298.0,0.1,5.450211,2.78,2409.56,0.581782,521.002,0.30716,0.507265
DB0-m3_o2_o20_f0_nbo.sym.134,298.0,0.1,4.134579,3.57,13530.5,0.229454,1897.51,0.67724,0.209432
DB0-m29_o84_o44_f0_pts.sym.83,313.0,16.0,9.920897,2.04,2060.83,0.907585,308.733,0.0663,10.606745
DB0-m2_o8_o12_f0_pcu.sym.53,313.0,0.4,4.729654,1.96,2913.73,0.60856,672.808,0.24762,0.923536
DB0-m9_o27_o28_f0_sra.sym.85,298.0,1.0,5.06694,2.15,5272.53,0.645388,877.195,0.28648,2.893274
DB0-m2_o6_o20_f0_pcu.sym.30,298.0,0.1,3.969561,2.27,3386.28,0.524523,753.294,0.29832,0.184597
DB0-m3_o45_o159_f0_fsc.sym.35,338.0,3.2,6.164071,2.17,1492.17,0.927599,178.777,0.05144,4.093492
DB0-m29_o80_o148_f0_pts.sym.5,313.0,16.0,9.300396,2.3,2177.14,0.766783,396.188,0.1788,15.614968
DB0-m3_o11_o27_f0_pcu.sym.31,313.0,0.4,4.959802,2.63,2179.69,0.835854,382.073,0.20164,0.502266
DB0-m3_o10_o20_f0_pcu.sym.24,298.0,0.1,5.639556,5.0,1023.61,0.991162,192.902,0.17178,0.362502
DB0-m9_o11_o20_f0_sra.sym.27,298.0,0.1,4.507768,5.88,1712.92,0.899799,297.554,0.16862,0.256982
DB0-m29_o97_o143_f0_pts.sym.39,313.0,0.4,5.452334,1.85,3039.3,0.648259,542.652,0.25682,1.650655
DB0-m3_o1500_o158_f0_fsc.sym.53,313.0,16.0,8.927182,2.13,1692.92,0.905916,196.853,0.03192,10.332687
DB0-m2_o17_o25_f0_nbo.sym.161,313.0,0.4,4.22508,2.94,28730.1,0.319161,4373.17,0.59872,0.614914
DB0-m3_o3_o7_f0_pcu.sym.32,338.0,3.2,3.521493,1.47,6333.07,0.335594,969.284,0.56158,2.556868
DB0-m3_o6_o27_f0_nbo.sym.76,298.0,1.0,4.349557,1.75,40148.6,0.229897,7511.93,0.59208,2.658841
DB0-m3_o16_o510_f0_fsc.sym.63,338.0,0.26,6.741716,3.03,1277.29,0.982096,198.154,0.06624,1.579773
DB7-ddmof_19377,298.0,1.0,2.999885,1.75,58194.1,0.155227,5560.67,0.7788,1.511694
DB0-m2_o18_o26_f0_pcu.sym.9,338.0,0.26,4.753583,2.04,3254.86,0.511145,691.664,0.35486,0.51812
DB1-Cu2O8-ADC_A-BDC_A_No17,338.0,0.26,3.510351,4.17,3744.71,0.526305,1007.34,0.3407,0.224316
DB5-hypotheticalMOF_5013702_2_1_0_3_17_0,313.0,16.0,6.510511,5.19,3673.03,0.857289,686.417,0.06356,14.316048
DB1-Cu2O8-irmof10_A-irmof6_A_No16,338.0,3.2,4.856782,3.17,7697.15,0.70992,1379.44,0.27168,4.932299
DB0-m3_o160_o1490_f0_fsc.sym.34,298.0,1.0,5.903733,3.17,1225.68,0.955516,216.892,0.10244,4.14378
DB0-m2_o7_o9_f0_nbo.sym.101,298.0,1.0,3.418855,2.86,26638.3,0.281639,4153.94,0.61574,1.172805
DB12-YANBAR02_clean,298.0,1.0,6.374502,11.11,1714.61,1.73124,98.3477,0.01462,0.661028
DB0-m9_o14_o2_f0_sra.sym.7,298.0,0.1,8.268223,3.92,1337.99,1.48,59.5694,0.01186,1.70038
DB0-m2_o16_o28_f0_pcu.sym.96,298.0,0.1,5.283609,1.63,3331.65,0.621573,719.908,0.24986,0.560468
DB0-m29_o83_o150_f0_pts.sym.43,298.0,0.1,4.967519,2.04,2849.24,0.581906,587.354,0.28662,0.484794
DB1-Zn2O8-AZO_A-DPAC_A_No648,338.0,3.2,3.843117,3.45,6132.51,0.476092,1196.53,0.43348,2.076319
DB0-m2_o6_o22_f0_pcu.sym.97,313.0,16.0,6.519544,1.75,2500.57,0.666729,508.68,0.14388,16.47159
DB0-m3_o1_o23_f0_nbo.sym.10,338.0,0.26,3.733113,4.62,15321.1,0.587092,2857.01,0.44528,0.148118
DB0-m3_o2_o15_f0_nbo.sym.15,313.0,0.4,4.232405,3.03,20206.5,0.427595,3524.28,0.50922,0.487604
